#description: jpscore (0.8.4)
#agents: 55
#count: 0
#framerate: 16.00
#geometry: geo_2_8.xml
#ID: the agent ID
#FR: the current frame
#X,Y,Z: the agents coordinates (in metres)
#A, B: semi-axes of the ellipse
#ANGLE: orientation of the ellipse
#COLOR: color of the ellipse

ID	FR	X	Y	Z	A	B	ANGLE	COLOR	
45	1	2.45	5.65	0.00	0.17	0.17	-108.31	0	
46	1	0.00	2.85	0.00	0.17	0.17	-90.00	0	
47	1	-2.07	6.67	0.00	0.17	0.17	-76.49	255	
48	1	1.05	6.35	0.00	0.17	0.17	-96.21	0	
49	1	-2.41	5.29	0.00	0.17	0.17	-70.75	255	
50	1	-1.05	4.25	0.00	0.17	0.17	-81.34	0	
51	1	-1.01	0.41	0.00	0.17	0.17	-60.26	255	
52	1	0.00	4.25	0.00	0.17	0.17	-90.00	0	
53	1	0.39	5.66	0.00	0.17	0.17	-90.86	255	
54	1	2.07	1.07	0.00	0.17	0.17	-131.38	255	
55	1	-1.03	4.91	0.00	0.17	0.17	-82.34	255	
1	2	0.70	6.70	0.00	0.17	0.17	-93.34	0	
2	2	-0.62	2.17	0.00	0.17	0.17	-56.26	255	
3	2	-1.69	2.44	0.00	0.17	0.17	-46.73	118	
4	2	1.79	4.50	0.00	0.17	0.17	-111.03	255	
5	2	1.05	6.70	0.00	0.17	0.17	-95.93	0	
6	2	0.35	6.35	0.00	0.17	0.17	-90.78	0	
7	2	0.00	6.35	0.00	0.17	0.17	-90.00	0	
8	2	0.05	2.05	0.00	0.17	0.17	-93.67	255	
9	2	1.79	5.99	0.00	0.17	0.17	-102.09	255	
10	2	0.36	3.10	0.00	0.17	0.17	-126.42	255	
11	2	0.35	6.70	0.00	0.17	0.17	-90.74	0	
12	2	-2.48	6.63	0.00	0.17	0.17	-95.56	255	
13	2	-1.05	5.65	0.00	0.17	0.17	-83.14	0	
14	2	-0.36	5.18	0.00	0.17	0.17	-80.99	255	
15	2	-1.75	4.84	0.00	0.17	0.17	-111.62	255	
16	2	-0.70	5.65	0.00	0.17	0.17	-86.13	0	
17	2	1.40	6.00	0.00	0.17	0.17	-99.33	0	
18	2	0.01	2.47	0.00	0.17	0.17	-94.64	114	
19	2	1.32	4.59	0.00	0.17	0.17	-178.71	255	
20	2	0.70	4.95	0.00	0.17	0.17	-94.33	0	
21	2	-2.42	0.38	0.00	0.17	0.17	-34.59	136	
22	2	2.08	2.81	0.00	0.17	0.17	19.51	254	
23	2	-1.39	6.23	0.00	0.17	0.17	-68.25	255	
24	2	-1.05	3.90	0.00	0.17	0.17	-80.73	0	
25	2	0.35	4.95	0.00	0.17	0.17	-90.96	0	
26	2	-0.70	4.25	0.00	0.17	0.17	-85.10	0	
27	2	-0.35	4.25	0.00	0.17	0.17	-88.91	0	
28	2	-1.38	4.50	0.00	0.17	0.17	-57.99	255	
29	2	0.02	0.67	0.00	0.17	0.17	-123.61	255	
30	2	-1.03	1.75	0.00	0.17	0.17	39.88	255	
31	2	-2.06	5.60	0.00	0.17	0.17	-110.29	255	
32	2	1.07	5.55	0.00	0.17	0.17	-90.72	255	
33	2	2.07	6.64	0.00	0.17	0.17	-144.36	255	
34	2	2.01	3.88	0.00	0.17	0.17	-109.20	255	
35	2	-2.08	2.48	0.00	0.17	0.17	-52.28	118	
36	2	0.33	3.79	0.00	0.17	0.17	-113.35	255	
37	2	-1.98	0.41	0.00	0.17	0.17	-7.08	255	
38	2	0.62	2.07	0.00	0.17	0.17	-100.28	255	
39	2	2.45	6.00	0.00	0.17	0.17	-107.45	0	
40	2	-0.33	1.35	0.00	0.17	0.17	-47.69	255	
41	2	1.31	1.72	0.00	0.17	0.17	-121.88	255	
42	2	2.10	5.18	0.00	0.17	0.17	-111.21	255	
43	2	2.41	3.10	0.00	0.17	0.17	-122.35	255	
44	2	0.69	2.48	0.00	0.17	0.17	-127.93	107	
45	2	2.45	5.65	0.00	0.17	0.17	-108.31	0	
46	2	0.00	2.85	0.00	0.17	0.17	-90.00	16	
47	2	-2.03	6.60	0.00	0.17	0.17	-74.20	255	
48	2	1.05	6.35	0.00	0.17	0.17	-96.21	0	
49	2	-2.40	5.22	0.00	0.17	0.17	-123.34	255	
50	2	-1.05	4.25	0.00	0.17	0.17	-81.34	0	
51	2	-0.94	0.37	0.00	0.17	0.17	-26.61	254	
52	2	0.00	4.25	0.00	0.17	0.17	-90.00	0	
53	2	0.42	5.59	0.00	0.17	0.17	-89.07	255	
54	2	1.99	1.04	0.00	0.17	0.17	-166.96	255	
55	2	-1.05	4.89	0.00	0.17	0.17	164.33	255	
1	3	0.70	6.70	0.00	0.17	0.17	-93.34	0	
2	3	-0.58	2.18	0.00	0.17	0.17	-51.57	255	
3	3	-1.67	2.42	0.00	0.17	0.17	18.52	255	
4	3	1.76	4.49	0.00	0.17	0.17	141.51	255	
5	3	1.05	6.70	0.00	0.17	0.17	-95.93	0	
6	3	0.35	6.35	0.00	0.17	0.17	-90.78	0	
7	3	0.00	6.35	0.00	0.17	0.17	-90.00	0	
8	3	0.08	1.97	0.00	0.17	0.17	-86.14	255	
9	3	1.79	5.91	0.00	0.17	0.17	-104.17	255	
10	3	0.34	3.06	0.00	0.17	0.17	-107.98	126	
11	3	0.35	6.70	0.00	0.17	0.17	-90.74	0	
12	3	-2.48	6.56	0.00	0.17	0.17	-47.62	255	
13	3	-1.05	5.65	0.00	0.17	0.17	-83.14	0	
14	3	-0.34	5.10	0.00	0.17	0.17	-68.24	255	
15	3	-1.71	4.89	0.00	0.17	0.17	12.73	255	
16	3	-0.70	5.65	0.00	0.17	0.17	-86.13	0	
17	3	1.41	5.92	0.00	0.17	0.17	-69.63	255	
18	3	-0.03	2.45	0.00	0.17	0.17	-83.00	255	
19	3	1.28	4.52	0.00	0.17	0.17	-100.62	255	
20	3	0.70	4.95	0.00	0.17	0.17	-94.33	0	
21	3	-2.37	0.39	0.00	0.17	0.17	-15.89	163	
22	3	2.04	2.75	0.00	0.17	0.17	-162.99	255	
23	3	-1.37	6.18	0.00	0.17	0.17	-16.20	255	
24	3	-1.05	3.90	0.00	0.17	0.17	-80.73	0	
25	3	0.35	4.95	0.00	0.17	0.17	-90.96	0	
26	3	-0.70	4.25	0.00	0.17	0.17	-85.10	0	
27	3	-0.35	4.25	0.00	0.17	0.17	-88.91	0	
28	3	-1.36	4.48	0.00	0.17	0.17	-42.12	82	
29	3	0.01	0.60	0.00	0.17	0.17	-58.28	255	
30	3	-0.97	1.70	0.00	0.17	0.17	-65.38	255	
31	3	-2.09	5.54	0.00	0.17	0.17	-89.90	208	
32	3	1.09	5.54	0.00	0.17	0.17	60.22	255	
33	3	2.10	6.58	0.00	0.17	0.17	-36.95	255	
34	3	1.98	3.80	0.00	0.17	0.17	-130.10	255	
35	3	-2.08	2.44	0.00	0.17	0.17	-14.14	255	
36	3	0.29	3.77	0.00	0.17	0.17	147.32	255	
37	3	-1.97	0.34	0.00	0.17	0.17	-50.34	255	
38	3	0.59	1.99	0.00	0.17	0.17	-102.46	255	
39	3	2.45	6.00	0.00	0.17	0.17	-107.45	0	
40	3	-0.40	1.34	0.00	0.17	0.17	-128.22	255	
41	3	1.30	1.64	0.00	0.17	0.17	-113.63	255	
42	3	2.09	5.13	0.00	0.17	0.17	-46.09	255	
43	3	2.39	3.09	0.00	0.17	0.17	137.46	255	
44	3	0.65	2.45	0.00	0.17	0.17	-101.48	255	
45	3	2.45	5.65	0.00	0.17	0.17	-108.31	0	
46	3	0.02	2.83	0.00	0.17	0.17	-30.08	84	
47	3	-2.01	6.52	0.00	0.17	0.17	-66.94	255	
48	3	1.05	6.35	0.00	0.17	0.17	-96.21	0	
49	3	-2.33	5.18	0.00	0.17	0.17	-14.54	255	
50	3	-1.05	4.25	0.00	0.17	0.17	-81.34	0	
51	3	-0.89	0.38	0.00	0.17	0.17	58.46	255	
52	3	0.00	4.25	0.00	0.17	0.17	-90.00	0	
53	3	0.42	5.55	0.00	0.17	0.17	-22.94	255	
54	3	1.91	1.04	0.00	0.17	0.17	-168.05	255	
55	3	-1.00	4.82	0.00	0.17	0.17	-49.74	255	
1	4	0.70	6.70	0.00	0.17	0.17	-93.34	0	
2	4	-0.51	2.12	0.00	0.17	0.17	-36.73	255	
3	4	-1.61	2.35	0.00	0.17	0.17	-56.64	255	
4	4	1.74	4.41	0.00	0.17	0.17	-95.98	255	
5	4	1.05	6.70	0.00	0.17	0.17	-95.93	0	
6	4	0.35	6.35	0.00	0.17	0.17	-90.78	0	
7	4	0.00	6.35	0.00	0.17	0.17	-90.00	0	
8	4	0.14	1.96	0.00	0.17	0.17	20.44	167	
9	4	1.80	5.87	0.00	0.17	0.17	-160.55	255	
10	4	0.32	3.04	0.00	0.17	0.17	-140.37	76	
11	4	0.35	6.70	0.00	0.17	0.17	-90.74	0	
12	4	-2.43	6.50	0.00	0.17	0.17	-37.85	255	
13	4	-1.05	5.65	0.00	0.17	0.17	-83.14	0	
14	4	-0.40	5.04	0.00	0.17	0.17	-144.32	255	
15	4	-1.65	4.83	0.00	0.17	0.17	-47.39	255	
16	4	-0.70	5.65	0.00	0.17	0.17	-86.13	0	
17	4	1.41	5.84	0.00	0.17	0.17	-76.97	255	
18	4	-0.10	2.42	0.00	0.17	0.17	-131.53	255	
19	4	1.31	4.44	0.00	0.17	0.17	-87.38	255	
20	4	0.70	4.95	0.00	0.17	0.17	-94.33	0	
21	4	-2.33	0.38	0.00	0.17	0.17	-20.88	147	
22	4	2.06	2.71	0.00	0.17	0.17	-8.75	254	
23	4	-1.40	6.14	0.00	0.17	0.17	-169.85	255	
24	4	-1.05	3.90	0.00	0.17	0.17	-80.73	0	
25	4	0.35	4.95	0.00	0.17	0.17	-90.96	0	
26	4	-0.70	4.25	0.00	0.17	0.17	-85.10	0	
27	4	-0.35	4.25	0.00	0.17	0.17	-88.91	0	
28	4	-1.35	4.47	0.00	0.17	0.17	-97.37	48	
29	4	-0.05	0.55	0.00	0.17	0.17	-121.81	255	
30	4	-0.96	1.62	0.00	0.17	0.17	-73.99	255	
31	4	-2.07	5.48	0.00	0.17	0.17	-66.52	118	
32	4	1.06	5.47	0.00	0.17	0.17	-99.31	255	
33	4	2.11	6.49	0.00	0.17	0.17	-77.29	255	
34	4	2.00	3.73	0.00	0.17	0.17	-89.57	255	
35	4	-2.05	2.42	0.00	0.17	0.17	-55.30	149	
36	4	0.27	3.69	0.00	0.17	0.17	-114.23	255	
37	4	-1.89	0.35	0.00	0.17	0.17	9.15	255	
38	4	0.55	1.92	0.00	0.17	0.17	-138.15	255	
39	4	2.45	6.00	0.00	0.17	0.17	-107.45	0	
40	4	-0.41	1.26	0.00	0.17	0.17	-115.13	255	
41	4	1.26	1.57	0.00	0.17	0.17	-133.08	255	
42	4	2.02	5.09	0.00	0.17	0.17	-139.62	255	
43	4	2.32	3.09	0.00	0.17	0.17	151.22	199	
44	4	0.65	2.39	0.00	0.17	0.17	-58.53	220	
45	4	2.45	5.65	0.00	0.17	0.17	-108.31	0	
46	4	0.02	2.81	0.00	0.17	0.17	-117.66	115	
47	4	-2.01	6.45	0.00	0.17	0.17	-123.05	255	
48	4	1.05	6.35	0.00	0.17	0.17	-96.21	0	
49	4	-2.29	5.12	0.00	0.17	0.17	-29.88	255	
50	4	-1.05	4.25	0.00	0.17	0.17	-81.34	0	
51	4	-0.93	0.31	0.00	0.17	0.17	-144.77	255	
52	4	0.00	4.25	0.00	0.17	0.17	-90.00	0	
53	4	0.39	5.49	0.00	0.17	0.17	-94.51	255	
54	4	1.85	0.99	0.00	0.17	0.17	-129.52	255	
55	4	-0.99	4.74	0.00	0.17	0.17	-88.65	255	
1	5	0.70	6.70	0.00	0.17	0.17	-93.34	0	
2	5	-0.51	2.06	0.00	0.17	0.17	-136.39	255	
3	5	-1.58	2.28	0.00	0.17	0.17	-86.15	255	
4	5	1.72	4.33	0.00	0.17	0.17	-120.77	255	
5	5	1.05	6.70	0.00	0.17	0.17	-95.93	0	
6	5	0.35	6.35	0.00	0.17	0.17	-90.78	0	
7	5	0.00	6.35	0.00	0.17	0.17	-90.00	0	
8	5	0.11	1.89	0.00	0.17	0.17	-83.82	255	
9	5	1.83	5.80	0.00	0.17	0.17	-57.44	255	
10	5	0.31	3.04	0.00	0.17	0.17	-171.37	46	
11	5	0.35	6.70	0.00	0.17	0.17	-90.74	0	
12	5	-2.41	6.47	0.00	0.17	0.17	-58.80	88	
13	5	-1.05	5.65	0.00	0.17	0.17	-83.14	0	
14	5	-0.38	4.96	0.00	0.17	0.17	-88.48	255	
15	5	-1.64	4.77	0.00	0.17	0.17	-73.45	175	
16	5	-0.70	5.65	0.00	0.17	0.17	-86.13	0	
17	5	1.41	5.77	0.00	0.17	0.17	-132.09	254	
18	5	-0.13	2.36	0.00	0.17	0.17	-72.54	255	
19	5	1.27	4.44	0.00	0.17	0.17	-115.78	255	
20	5	0.70	4.95	0.00	0.17	0.17	-94.33	0	
21	5	-2.28	0.39	0.00	0.17	0.17	-10.46	195	
22	5	2.06	2.70	0.00	0.17	0.17	-26.18	255	
23	5	-1.39	6.06	0.00	0.17	0.17	-96.58	255	
24	5	-1.05	3.90	0.00	0.17	0.17	-80.73	0	
25	5	0.35	4.95	0.00	0.17	0.17	-90.96	0	
26	5	-0.70	4.25	0.00	0.17	0.17	-85.10	0	
27	5	-0.35	4.25	0.00	0.17	0.17	-88.91	0	
28	5	-1.35	4.47	0.00	0.17	0.17	-84.16	33	
29	5	0.02	0.51	0.00	0.17	0.17	-14.71	255	
30	5	-0.91	1.55	0.00	0.17	0.17	-49.85	255	
31	5	-2.04	5.42	0.00	0.17	0.17	-72.67	255	
32	5	1.09	5.41	0.00	0.17	0.17	-103.89	255	
33	5	2.05	6.44	0.00	0.17	0.17	-130.53	255	
34	5	1.98	3.68	0.00	0.17	0.17	-52.37	255	
35	5	-2.03	2.35	0.00	0.17	0.17	-95.03	180	
36	5	0.28	3.61	0.00	0.17	0.17	-91.19	255	
37	5	-1.82	0.31	0.00	0.17	0.17	-29.01	255	
38	5	0.52	1.88	0.00	0.17	0.17	-107.95	96	
39	5	2.45	6.00	0.00	0.17	0.17	-107.45	0	
40	5	-0.43	1.21	0.00	0.17	0.17	-60.88	255	
41	5	1.21	1.51	0.00	0.17	0.17	-111.49	255	
42	5	2.03	5.01	0.00	0.17	0.17	-101.13	255	
43	5	2.31	3.03	0.00	0.17	0.17	-106.19	149	
44	5	0.62	2.36	0.00	0.17	0.17	168.42	255	
45	5	2.45	5.65	0.00	0.17	0.17	-108.31	0	
46	5	0.04	2.76	0.00	0.17	0.17	-42.70	139	
47	5	-2.03	6.39	0.00	0.17	0.17	-138.23	255	
48	5	1.05	6.35	0.00	0.17	0.17	-96.21	0	
49	5	-2.29	5.13	0.00	0.17	0.17	131.89	254	
50	5	-1.05	4.25	0.00	0.17	0.17	-81.34	0	
51	5	-0.87	0.26	0.00	0.17	0.17	-54.35	255	
52	5	0.00	4.25	0.00	0.17	0.17	-90.00	0	
53	5	0.31	5.46	0.00	0.17	0.17	-167.75	255	
54	5	1.81	0.94	0.00	0.17	0.17	-174.71	255	
55	5	-0.95	4.71	0.00	0.17	0.17	14.34	255	
1	6	0.70	6.70	0.00	0.17	0.17	-93.34	0	
2	6	-0.56	1.99	0.00	0.17	0.17	-127.57	254	
3	6	-1.56	2.21	0.00	0.17	0.17	-102.56	255	
4	6	1.68	4.28	0.00	0.17	0.17	-107.09	199	
5	6	1.05	6.70	0.00	0.17	0.17	-95.93	0	
6	6	0.35	6.35	0.00	0.17	0.17	-90.78	0	
7	6	0.00	6.35	0.00	0.17	0.17	-90.00	0	
8	6	0.09	1.81	0.00	0.17	0.17	-117.26	255	
9	6	1.85	5.75	0.00	0.17	0.17	-128.37	255	
10	6	0.29	3.02	0.00	0.17	0.17	147.97	255	
11	6	0.35	6.70	0.00	0.17	0.17	-90.74	0	
12	6	-2.39	6.44	0.00	0.17	0.17	-76.58	100	
13	6	-1.05	5.65	0.00	0.17	0.17	-83.14	0	
14	6	-0.32	4.92	0.00	0.17	0.17	10.49	255	
15	6	-1.61	4.74	0.00	0.17	0.17	-11.35	104	
16	6	-0.70	5.65	0.00	0.17	0.17	-86.13	0	
17	6	1.40	5.69	0.00	0.17	0.17	-98.04	247	
18	6	-0.10	2.30	0.00	0.17	0.17	-38.50	255	
19	6	1.27	4.35	0.00	0.17	0.17	-95.47	255	
20	6	0.70	4.95	0.00	0.17	0.17	-94.33	0	
21	6	-2.27	0.44	0.00	0.17	0.17	128.82	255	
22	6	1.99	2.67	0.00	0.17	0.17	-131.48	255	
23	6	-1.37	5.98	0.00	0.17	0.17	-106.36	255	
24	6	-1.05	3.90	0.00	0.17	0.17	-80.73	0	
25	6	0.35	4.95	0.00	0.17	0.17	-90.96	0	
26	6	-0.70	4.25	0.00	0.17	0.17	-85.10	0	
27	6	-0.35	4.25	0.00	0.17	0.17	-88.91	0	
28	6	-1.34	4.46	0.00	0.17	0.17	-63.96	21	
29	6	0.02	0.43	0.00	0.17	0.17	-96.46	255	
30	6	-0.86	1.48	0.00	0.17	0.17	-49.92	255	
31	6	-1.97	5.37	0.00	0.17	0.17	-39.49	255	
32	6	1.06	5.38	0.00	0.17	0.17	-78.35	255	
33	6	2.04	6.36	0.00	0.17	0.17	-96.17	255	
34	6	1.93	3.65	0.00	0.17	0.17	173.72	255	
35	6	-1.99	2.37	0.00	0.17	0.17	-33.48	255	
36	6	0.28	3.53	0.00	0.17	0.17	-102.22	255	
37	6	-1.78	0.32	0.00	0.17	0.17	74.01	254	
38	6	0.51	1.80	0.00	0.17	0.17	-117.38	255	
39	6	2.45	6.00	0.00	0.17	0.17	-107.45	0	
40	6	-0.37	1.19	0.00	0.17	0.17	-61.18	255	
41	6	1.16	1.48	0.00	0.17	0.17	164.53	255	
42	6	2.04	4.93	0.00	0.17	0.17	-84.02	255	
43	6	2.29	3.00	0.00	0.17	0.17	-156.16	166	
44	6	0.62	2.28	0.00	0.17	0.17	-115.27	255	
45	6	2.45	5.65	0.00	0.17	0.17	-108.31	0	
46	6	0.03	2.71	0.00	0.17	0.17	-97.55	126	
47	6	-1.97	6.34	0.00	0.17	0.17	-52.89	254	
48	6	1.05	6.35	0.00	0.17	0.17	-96.21	0	
49	6	-2.27	5.05	0.00	0.17	0.17	-80.31	255	
50	6	-1.05	4.25	0.00	0.17	0.17	-81.34	0	
51	6	-0.79	0.26	0.00	0.17	0.17	12.33	255	
52	6	0.00	4.25	0.00	0.17	0.17	-90.00	0	
53	6	0.29	5.38	0.00	0.17	0.17	-92.73	224	
54	6	1.75	0.89	0.00	0.17	0.17	-121.54	255	
55	6	-0.90	4.64	0.00	0.17	0.17	-67.01	250	
1	7	0.70	6.70	0.00	0.17	0.17	-93.34	0	
2	7	-0.54	2.00	0.00	0.17	0.17	-57.05	255	
3	7	-1.50	2.16	0.00	0.17	0.17	-26.62	255	
4	7	1.64	4.24	0.00	0.17	0.17	-128.11	78	
5	7	1.05	6.70	0.00	0.17	0.17	-95.93	0	
6	7	0.35	6.35	0.00	0.17	0.17	-90.78	0	
7	7	0.00	6.35	0.00	0.17	0.17	-90.00	0	
8	7	0.08	1.77	0.00	0.17	0.17	-152.09	212	
9	7	1.81	5.73	0.00	0.17	0.17	-107.36	211	
10	7	0.28	2.99	0.00	0.17	0.17	-122.77	70	
11	7	0.35	6.70	0.00	0.17	0.17	-90.74	0	
12	7	-2.35	6.41	0.00	0.17	0.17	-28.80	176	
13	7	-1.05	5.65	0.00	0.17	0.17	-83.14	0	
14	7	-0.35	4.89	0.00	0.17	0.17	173.61	255	
15	7	-1.60	4.73	0.00	0.17	0.17	-61.06	54	
16	7	-0.70	5.65	0.00	0.17	0.17	-86.13	0	
17	7	1.35	5.64	0.00	0.17	0.17	-129.86	216	
18	7	-0.12	2.27	0.00	0.17	0.17	-48.45	255	
19	7	1.24	4.28	0.00	0.17	0.17	-93.05	255	
20	7	0.70	4.95	0.00	0.17	0.17	-94.33	0	
21	7	-2.18	0.44	0.00	0.17	0.17	-8.08	255	
22	7	1.94	2.61	0.00	0.17	0.17	-124.36	255	
23	7	-1.32	5.96	0.00	0.17	0.17	-32.91	150	
24	7	-1.05	3.90	0.00	0.17	0.17	-80.73	0	
25	7	0.35	4.95	0.00	0.17	0.17	-90.96	0	
26	7	-0.70	4.25	0.00	0.17	0.17	-85.10	0	
27	7	-0.35	4.25	0.00	0.17	0.17	-88.91	0	
28	7	-1.37	4.43	0.00	0.17	0.17	-141.37	45	
29	7	0.08	0.38	0.00	0.17	0.17	-56.21	255	
30	7	-0.79	1.45	0.00	0.17	0.17	-39.52	255	
31	7	-1.93	5.31	0.00	0.17	0.17	-58.97	255	
32	7	1.08	5.32	0.00	0.17	0.17	-105.59	255	
33	7	1.97	6.31	0.00	0.17	0.17	-131.34	255	
34	7	1.88	3.58	0.00	0.17	0.17	-129.66	255	
35	7	-1.93	2.34	0.00	0.17	0.17	1.04	217	
36	7	0.30	3.48	0.00	0.17	0.17	-17.90	255	
